road_segment,Latitude,Longitude
1,24.813821,120.967381
63,24.810974,120.970021
41,24.812155,120.971898
16,24.814245,120.974301
202202,24.809132,120.960126
15,24.815031,120.985235
35,24.804961,120.966084
36,24.802567,120.965172
11,24.796701,120.960701
44,24.794781,120.965201
12,24.796506,120.952382
6,24.805481,120.977173
30,24.801061,120.987161
43,24.798249,120.978117
45,24.805295,120.992679
32,24.795998,120.997936
54,24.794813,120.972512
56,24.790287,120.976608
57,24.788248,120.982291
59,24.786925,120.986707
62,24.786012,120.988147
