from,to,cost
63,59,3160.35307665183
59,63,3160.35307665183
63,62,3324.4390757702913
62,63,3324.4390757702913
63,57,2814.21259685671
57,63,2814.21259685671
63,56,2394.4540731973657
56,63,2394.4540731973657
63,54,1814.526229451058
54,63,1814.526229451058
63,45,2372.534739094887
45,63,2372.534739094887
63,32,3272.9691459911633
32,63,3272.9691459911633
63,30,2051.3462104498276
30,63,2051.3462104498276
63,15,1600.4381676227106
15,63,1600.4381676227106
63,16,564.7107462894328
16,63,564.7107462894328
63,12,2399.598077891214
12,63,2399.598077891214
63,6,945.6082912308693
6,63,945.6082912308693
63,44,1865.1511329483753
44,63,1865.1511329483753
63,35,777.7878944001138
35,63,777.7878944001138
63,11,1844.9444090462093
11,63,1844.9444090462093
63,43,1633.9783066121252
43,63,1633.9783066121252
63,36,1055.1894133998294
36,63,1055.1894133998294
63,41,230.5113709447292
41,63,230.5113709447292
63,1,413.78303023201187
1,63,413.78303023201187
63,202202,1019.5091283084089
202202,63,1019.5091283084089
59,62,177.3101545972552
62,59,177.3101545972552
59,57,469.44260867476873
57,59,469.44260867476873
59,56,1085.869540980294
56,59,1085.869540980294
59,54,1680.0793471897325
54,59,1680.0793471897325
59,45,2129.7490997151226
45,59,2129.7490997151226
59,32,1517.4735385711729
32,59,1517.4735385711729
59,30,1572.519440432248
30,59,1572.519440432248
59,15,3128.7746374466124
15,59,3128.7746374466124
59,16,3285.82665247828
16,59,3285.82665247828
59,12,3625.0865053587404
12,59,3625.0865053587404
59,6,2276.7400260134386
6,59,2276.7400260134386
59,44,2340.1376000876294
44,59,2340.1376000876294
59,35,2890.6395731552134
35,59,2890.6395731552134
59,11,2841.3848714645032
11,59,2841.3848714645032
59,43,1528.8637782745154
43,59,1528.8637782745154
59,36,2784.023141117272
36,59,2784.023141117272
59,41,3178.8448020566602
41,59,3178.8448020566602
59,1,3570.681243647481
1,59,3570.681243647481
59,202202,3646.462185641636
202202,59,3646.462185641636
62,57,641.3242107381744
57,62,641.3242107381744
62,56,1258.120140555796
